country_iso3,country_name,indicator_id,indicator_label,pathway,theme,risk_measure,variable,unit,higher_is_worse,year,value,source_name,source_dataset,source_url,retrieved_at
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2015,11.9364574151806,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2016,13.8816290649746,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2017,11.7608731839158,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2018,12.0505570219715,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2019,11.6079686394728,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2020,11.293624377103,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2021,9.94848196227339,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2022,9.44712725838066,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
PSE,State of Palestine,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2023,16.2430493847012,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
SDN,Sudan,DT.ODA.ODAT.GN.ZS,Financial dependence (aid),Development,Economy,Vulnerability,Net ODA received (% of GNI),% of GNI,True,2000,1.93541900649616,World Bank,World Development Indicators,https://data.worldbank.org/indicator/DT.ODA.ODAT.GN.ZS,2026-09-10T00:21:24+00:00
